LA,ESTAB,URN,PERCTOT,PPERSABS10
209,2570,100704,4.1,7.1
209,2571,100705,2.9,3.9
209,2599,137441,5,12.6
209,2606,100708,5.2,14.2
209,2782,100709,4.8,13.2
209,2811,100710,4.3,9.2
209,2815,100711,3.8,4.9
209,2818,100712,5.3,14.4
209,2869,100713,5.3,11.4
209,2870,100714,5.5,11.9
209,2871,100715,5,12
209,2878,100716,5.2,14.8
209,2887,100717,4.8,9.8
209,2911,100718,4.7,14
209,3301,100719,4.9,12.4
209,3325,145621,5.3,17
209,3344,100722,5,17.4
209,3360,100723,7,26.5
209,3374,100724,4.5,8.3
209,3416,100725,5.1,15.9
209,3420,100726,4.5,9.9
209,3454,100727,3.8,9.2
209,3472,100728,4.5,9.9
209,3478,100729,4.1,10.1
209,3518,100730,4.4,9.2
209,3548,100731,5,15.1
209,3588,100732,4.7,12.9
209,3594,100733,5.7,15.3
209,3597,100734,6.4,18.4
209,3650,100737,4.3,10.2
209,3661,100739,4,5.9
209,4001,148003,6.9,19.9
209,4002,150691,12.1,37.4
209,4047,100740,7.4,22
209,4204,100741,8.1,24.1
209,4249,100742,9.9,30.7
209,4289,100745,6.4,18.4
209,4323,150318,6.2,16
209,4600,100748,8,25.3
209,4636,100749,5.1,9.1
209,4646,150319,6.8,18.2
209,4802,100752,5.5,13.8
209,5201,150351,8.6,28.2
209,6905,135073,7.9,23.4
209,6906,135070,8.2,25.4
209,6907,135264,6.3,16.4
209,7038,100760,8.4,26.8
209,7141,100763,19.4,69.7
209,7180,100765,11.1,37.3
209,7182,100766,12.3,42.8
209,7183,136423,9.2,29.1
210,2002,139907,4.1,7.7
210,2003,100774,6,16
210,2004,140937,4.1,11.1
210,2005,141666,5.2,13.5
210,2006,142090,4.3,8
210,2007,142875,5.9,18.3
210,2008,145130,5.8,17.2
210,2009,145888,8.3,27.7
210,2010,146669,4.2,10.9
210,2038,100775,5.6,19.4
210,2085,100780,4.1,10.1
210,2100,148012,3.5,5.2
210,2123,100783,9.1,31.5
210,2138,100784,5,13.4
210,2142,100785,6.2,15.5
210,2161,149604,5.5,16.1
210,2169,136665,3.8,5.7
210,2257,100790,4,8.6
210,2263,100791,5.6,19.4
210,2293,100793,4.1,8.6
210,2308,100794,6.2,20
210,2323,100795,5.2,15.5
210,2328,100796,4.7,11.4
210,2335,140507,5.2,12.5
210,2339,100798,4.6,9.9
210,2351,100800,5.7,11.4
210,2365,100801,5.3,13.9
210,2392,148574,5.7,16
210,2411,100803,5.8,16.3
210,2500,137648,5.1,10.5
210,2514,100808,3.3,6.2
210,2516,100809,4.9,14.1
210,2526,149605,6.9,21.8
210,2560,100811,5.9,20.4
210,2562,100812,6.2,20.7
210,2607,100813,6.2,18.1
210,2621,100815,5.7,18.8
210,2848,100817,4.7,12.4
210,2852,100818,6.3,20.8
210,2853,100819,7.6,27
210,2855,100821,9,27
210,2856,130918,3.8,9.4
210,2857,137413,5.1,14.7
210,2858,131843,6.1,20.8
210,3313,100822,4.3,7.1
210,3337,100823,3.4,5.2
210,3341,100824,3.5,8
210,3399,100825,4.6,13.2
210,3435,100826,4.6,14
210,3445,100827,5.9,23.4
210,3447,100828,5.6,12.8
210,3452,100829,5.3,16.5
210,3460,100830,4.8,11.3
210,3475,149346,4,10.4
210,3476,100833,3.2,3.4
210,3484,100834,4.2,10.1
210,3492,100835,5.1,15
210,3508,100836,4.3,10.9
210,3516,100837,8.8,30
210,3586,100839,4.6,16
210,3593,100840,4.6,9.2
210,3669,100841,5.3,11.9
210,3670,134903,5.4,13.6
210,4000,139587,9.5,34.7
210,4001,139718,5.9,15.6
210,4002,140221,10.3,32.8
210,4003,142178,7.6,22.8
210,4005,145313,7.8,24.2
210,4006,147073,8.2,25.7
210,4007,150937,5.7,15.1
210,4265,136309,5.6,12.1
210,4318,136298,6.5,15.4
210,4680,100849,6.3,18.8
210,5201,100852,3.8,6.9
210,5203,100853,4.4,12.6
210,5204,100854,4.7,12
210,5205,100855,7.5,30.7
210,5207,100816,6.1,19.5
210,5209,146117,5.4,16.7
210,5402,100857,5.4,14.1
210,5403,138961,4.6,12.1
210,5404,149369,8.4,25
210,5405,138960,3.8,6.9
210,6905,134222,7.3,20.2
210,6906,134225,7.8,24.4
210,6907,131747,6.6,17.9
210,6908,132711,7.8,22.8
210,6909,135315,7.9,24.6
210,6912,135584,7.5,20.7
210,6913,135816,5.1,12.5
210,7000,143745,8.4,20
210,7007,100872,12.6,37.5
210,7048,146190,13.5,33.8
210,7064,140138,34.3,73.8
210,7126,100878,6.1,16.7
210,7167,100879,14.1,31
210,7174,100880,11.5,29.6
210,7186,100881,15.8,56
211,2000,137016,4.1,8.3
211,2001,140096,6.2,19.6
211,2002,131936,7,20.2
211,2003,133288,8.7,32.9
211,2004,133574,5.9,16.6
211,2005,134160,5.5,14.6
211,2006,139423,6.9,25
211,2008,138276,5,12.3
211,2009,141039,4.4,10.4
211,2010,149084,7.3,32.3
211,2043,100890,6.1,17.3
211,2056,100891,6,16.8
211,2059,100892,6.1,18.4
211,2091,148769,6.5,18.6
211,2097,100894,6.6,21.7
211,2099,100895,5.3,12.5
211,2110,100896,5.7,18.7
211,2118,100897,6.9,22.8
211,2144,100898,7.1,21.7
211,2145,140064,6.5,22.5
211,2147,148681,5,10.1
211,2159,144699,6.1,18.3
211,2254,100902,4.7,11.4
211,2270,100903,4.5,13
211,2281,100904,7.1,25.4
211,2341,100906,5,12.2
211,2377,100907,5,11.8
211,2378,100908,7.9,20.8
211,2397,100911,6,18.4
211,2402,100912,7.4,24.1
211,2406,100913,4.7,11.7
211,2432,100914,6,20.3
211,2441,100915,5.6,17.6
211,2446,100916,5.4,15.5
211,2499,100917,4.9,10.4
211,2533,100920,6.5,18.6
211,2557,137682,6.2,17.5
211,2568,144235,5.3,15.8
211,2569,100923,5.5,9.9
211,2623,100926,4.9,13.7
211,2631,100927,5,13
211,2658,100928,6.2,16.7
211,2828,100930,5.1,10.5
211,2857,100931,6.2,18.6
211,2908,100934,4.8,13.4
211,2910,100936,4.6,10.4
211,2912,100937,5.8,17.2
211,2916,100938,6.7,20.3
211,2917,100939,4,9.4
211,2918,100940,5,12.5
211,2920,144236,3.8,7.7
211,2921,100943,5.7,15
211,2922,130352,6.6,20.1
211,2999,131737,5.5,15.6
211,3332,100944,5.9,20.3
211,3350,100946,6.4,19.2
211,3397,100949,5.7,18.2
211,3411,100950,7.5,25.5
211,3431,100951,7.1,26.5
211,3462,100953,10,30.8
211,3497,100954,7.4,21.8
211,3563,100958,7.4,24.4
211,3574,100959,5.7,16.8
211,3581,100960,5.3,12.8
211,3592,100961,7.5,25.6
211,3619,100962,5.6,17.3
211,4000,138202,9.3,30.1
211,4001,141133,6.8,18.6
211,4003,142879,7.6,20.2
211,4005,144756,13.6,39.7
211,4024,100965,6.5,15.9
211,4105,100966,7.5,18.3
211,4150,100967,8,21.1
211,4242,143629,5.7,15.8
211,4276,144700,5.7,15.6
211,4277,143379,5.3,11.2
211,4284,137789,6.6,20.3
211,4296,100972,9.1,31.6
211,4297,100973,4.3,9.7
211,4505,100974,7.2,20.5
211,4507,100975,6.7,20.9
211,4722,100977,3.8,6.3
211,4726,100978,8.1,25.6
211,7084,100986,18.1,46.7
211,7095,100987,10,35.7
211,7168,100989,20.8,53.1
211,7169,131023,22.9,68.4
211,7171,143630,20,65
212,2000,139592,5.5,14.8
212,2001,139687,5.6,17.4
212,2002,139775,4.2,8.8
212,2003,140222,4.2,11.1
212,2004,100995,5.8,17.1
212,2005,134041,5.6,13.6
212,2006,140423,4.7,10.7
212,2007,140682,5.5,16.6
212,2008,143739,5,12.9
212,2009,144621,4.6,6.4
212,2010,100996,6,15.9
212,2011,145060,7.5,21.3
212,2012,146549,6.4,21
212,2034,100997,4.4,9.7
212,2040,137563,5.3,12.3
212,2064,101001,4,6.9
212,2107,145280,5.6,16.4
212,2180,101005,3.2,4.7
212,2211,101006,6.3,21.2
212,2217,101007,5.2,16.2
212,2231,146191,5.4,15.2
212,2237,101009,5,15.1
212,2301,146214,5.4,13.3
212,2314,101013,5.5,12.6
212,2334,101014,7.4,24.4
212,2467,101016,3.4,4.6
212,2495,147327,6.3,20
212,2511,101018,6.5,17.3
212,2541,101019,4.4,8.3
212,2545,101020,8.2,21.5
212,2558,101021,6.5,19
212,2584,101022,5.6,15.7
212,2633,101024,6.8,22.3
212,2774,101026,4.6,6.9
212,2780,101027,6.6,22.8
212,2781,101028,6.6,18.8
212,2786,101029,5.5,16.5
212,2807,101031,5.2,11.6
212,2877,145030,5.8,17.9
212,3304,101034,5.5,13.8
212,3320,101035,5.6,17.6
212,3376,101036,3.1,2.4
212,3387,101037,4.2,6.4
212,3390,101038,7.3,28.6
212,3408,101041,4.5,12.9
212,3422,101042,4.9,12.7
212,3434,101043,5.6,14.4
212,3444,101044,7,19.2
212,3486,101045,6.6,20
212,3524,101046,5.2,12.1
212,3525,101047,4.8,14.1
212,3528,101048,4.6,10.5
212,3550,101049,3.2,3.4
212,3629,101050,5.5,14.2
212,3636,101051,4.4,5.5
212,3644,101052,3,2.8
212,3645,131520,6.3,15.5
212,4000,138267,6.2,16.5
212,4001,140985,7.5,22
212,4008,135762,9.5,33.8
212,4297,149543,8.3,25
212,4328,136883,7.7,18.7
212,4734,141808,7.6,21.5
212,5201,101057,7.1,23
212,5203,101012,3.7,5.9
212,5204,101011,4.6,10.1
212,5205,101032,6.8,24.9
212,5400,137005,5.6,13.6
212,5401,139842,8.1,23.8
212,5402,138681,7.7,25.4
212,5405,138682,7.2,19.7
212,6905,135316,2.6,4
212,7000,143175,19.7,49.6
212,7067,145709,14,49.5
212,7068,101094,10.3,39.2
212,7077,101095,44.6,100
212,7123,101099,12.1,40.4
212,7183,101102,10.3,31.3
212,7207,101103,11.5,38.2
213,2000,137323,6.2,18
213,2002,139824,6.2,16.5
213,2003,139898,6.7,23.8
213,2004,139940,7.8,30.1
213,2006,151310,6,20
213,2032,101107,4.7,8
213,2189,101110,7.1,24.9
213,2208,101111,7.6,24.5
213,2244,140050,6.4,24
213,2418,138683,5.7,18.8
213,2778,101115,5.6,13.2
213,2799,101116,7.4,21.7
213,2816,101117,5.7,18.8
213,2844,101120,8.1,30.8
213,3306,101121,6.7,23.3
213,3316,101122,7.4,22.3
213,3351,101123,3.7,6.5
213,3381,101124,8.4,24.4
213,3414,101125,6.3,16.5
213,3418,101126,8.6,23.5
213,3424,101127,5.6,16.8
213,3432,101128,7.3,20.3
213,3440,101129,5.2,16.4
213,3446,101130,7.7,29.7
213,3451,101131,8.2,26.9
213,3453,101132,5.3,13.7
213,3473,149488,5,14.1
213,3496,101134,6.1,16.8
213,3511,101135,8.8,32.2
213,3520,101136,4.1,8.2
213,3532,101137,6.5,20.2
213,3539,101138,8.8,26.4
213,3580,101139,7.2,21.2
213,3582,101140,4.8,9.3
213,3590,101141,4.8,9.9
213,3610,101143,3.9,4.9
213,3611,101144,6,18.3
213,3653,101147,5.3,12.4
213,4000,140884,11.6,41.6
213,4004,145126,8.5,24.7
213,4628,138313,5.4,14.4
213,4673,137353,7.7,21.3
213,4687,138312,7.6,25.2
213,4723,101154,8.9,29.7
213,4809,139369,5.8,15.3
213,6905,130912,6.1,17.3
213,6906,131262,9.7,33.5
213,6907,135242,7.4,20.9
213,6908,135676,11.7,39.6
213,7000,139600,11.2,31.4
213,7042,101182,10.8,35.7
213,7184,101184,18.8,57.5
301,2002,140687,7.3,21
301,2003,141651,3.8,9.1
301,2005,101188,6.2,15.1
301,2006,142699,6,20.3
301,2009,101192,4.7,10.6
301,2010,101193,5.6,16.7
301,2013,101196,6.8,22.8
301,2015,101198,5.6,17.7
301,2019,142133,4.1,4.2
301,2021,138684,3.7,8.8
301,2024,101202,4.3,10
301,2026,144280,5.6,19.7
301,2030,101203,5.6,13.9
301,2033,101206,6.5,20.3
301,2043,101211,4.2,10.3
301,2047,101212,5.3,14.3
301,2052,101216,6.7,19
301,2055,101219,4.7,10
301,2056,101220,7,25.4
301,2059,101222,4.9,12.1
301,2060,101223,6,18.4
301,2061,101224,6.5,20.5
301,2063,101226,6.4,20
301,2064,101227,5.2,12.7
301,2065,101228,6.5,18
301,2066,101229,5.1,13
301,2067,101230,5.6,16.7
301,2068,101231,5.7,17.1
301,2069,101232,6.9,24
301,2070,130357,5.7,16.5
301,2071,130340,5.8,14.4
301,2072,130919,6.8,21.2
301,2073,131844,6,18.4
301,2074,131845,7.4,25.9
301,2075,131775,5.8,15.8
301,3300,144035,4.7,14.2
